dataset,method,pair,kendall_tau,spearman,iou_topk
analcatdata_authorship,bayesglm,LOCAL vs SHAP,0.5006211,0.6883212,0.2
analcatdata_authorship,ctree,FEAT_IMP vs LIME,0.1610766,0.2272942,0.5
analcatdata_authorship,ctree,FEAT_IMP vs LOCAL,0.0429670,0.0701173,0.5
analcatdata_authorship,ctree,FEAT_IMP vs SHAP,0.7714286,0.7503281,0.5
analcatdata_authorship,ctree,LIME vs SHAP,0.3002070,0.4131747,1.0
analcatdata_authorship,ctree,LOCAL vs LIME,0.1922207,0.2483438,1.0
analcatdata_authorship,ctree,LOCAL vs SHAP,0.0239711,0.0541544,1.0
analcatdata_authorship,fda,FEAT_IMP vs LIME,0.2803313,0.4022920,0.5
analcatdata_authorship,fda,FEAT_IMP vs LOCAL,0.2564450,0.3666693,0.5
analcatdata_authorship,fda,FEAT_IMP vs SHAP,0.9453416,0.9500306,1.0
analcatdata_authorship,fda,LIME vs SHAP,0.2637681,0.3788820,0.5
analcatdata_authorship,fda,LOCAL vs LIME,0.3224785,0.4585761,0.5
analcatdata_authorship,fda,LOCAL vs SHAP,0.2157395,0.3195786,0.5
analcatdata_authorship,gbm,FEAT_IMP vs LIME,0.1080745,0.1521652,1.0
analcatdata_authorship,gbm,FEAT_IMP vs LOCAL,0.0898551,0.1241711,1.0
analcatdata_authorship,gbm,FEAT_IMP vs SHAP,0.2712215,0.3309772,0.5
analcatdata_authorship,gbm,LIME vs SHAP,0.4989648,0.6703001,0.5
analcatdata_authorship,gbm,LOCAL vs LIME,0.4302277,0.6188610,1.0
analcatdata_authorship,gbm,LOCAL vs SHAP,0.3979296,0.5821188,0.5
analcatdata_authorship,gcvEarth,FEAT_IMP vs LIME,0.3755694,0.5261307,0.5
analcatdata_authorship,gcvEarth,FEAT_IMP vs LOCAL,0.2037511,0.3078188,0.2
analcatdata_authorship,gcvEarth,FEAT_IMP vs SHAP,0.9461698,0.9505205,1.0
analcatdata_authorship,gcvEarth,LIME vs SHAP,0.3730849,0.5221066,0.5
analcatdata_authorship,gcvEarth,LOCAL vs LIME,0.3111679,0.4449397,0.2
analcatdata_authorship,gcvEarth,LOCAL vs SHAP,0.1679454,0.2645232,0.2
analcatdata_authorship,knn,FEAT_IMP vs LIME,0.2463768,0.3507480,0.5
analcatdata_authorship,knn,FEAT_IMP vs LOCAL,0.2923617,0.4076421,1.0
analcatdata_authorship,knn,FEAT_IMP vs SHAP,0.3002070,0.4212930,0.5
analcatdata_authorship,knn,LIME vs SHAP,0.3962733,0.5519202,1.0
analcatdata_authorship,knn,LOCAL vs LIME,0.1606673,0.2352559,0.5
analcatdata_authorship,knn,LOCAL vs SHAP,0.3467954,0.4711608,0.5
analcatdata_authorship,mlpML,FEAT_IMP vs LOCAL,0.0252588,0.0318957,0
analcatdata_authorship,mlpML,FEAT_IMP vs SHAP,0.9519669,0.9401277,1
analcatdata_authorship,mlpML,LOCAL vs SHAP,-0.0045549,-0.0137696,0
analcatdata_authorship,multinom,FEAT_IMP vs LIME,0.3026915,0.4168839,0.5
analcatdata_authorship,multinom,FEAT_IMP vs LOCAL,0.1287298,0.1940446,0.2
analcatdata_authorship,multinom,FEAT_IMP vs SHAP,0.2629400,0.3761526,0.5
analcatdata_authorship,multinom,LIME vs SHAP,0.6422360,0.8465926,0.5
analcatdata_authorship,multinom,LOCAL vs LIME,0.2924126,0.4007307,0.2
analcatdata_authorship,multinom,LOCAL vs SHAP,0.3623188,0.4890756,0.2
analcatdata_authorship,naive_bayes,FEAT_IMP vs LIME,0.1643892,0.2279241,0.2
analcatdata_authorship,naive_bayes,FEAT_IMP vs LOCAL,0.0237050,0.0405008,0.0
analcatdata_authorship,naive_bayes,FEAT_IMP vs SHAP,0.1726708,0.2664159,0.5
analcatdata_authorship,naive_bayes,LIME vs SHAP,0.3954451,0.5777797,0.2
analcatdata_authorship,naive_bayes,LOCAL vs LIME,0.2695347,0.3859602,0.0
analcatdata_authorship,naive_bayes,LOCAL vs SHAP,0.2686567,0.3856167,0.2
analcatdata_authorship,rbfDDA,FEAT_IMP vs LIME,0.1378882,0.2006999,0.5
analcatdata_authorship,rbfDDA,FEAT_IMP vs LOCAL,0.1892583,0.2751553,0.2
analcatdata_authorship,rbfDDA,FEAT_IMP vs SHAP,0.3118012,0.4566355,0.2
analcatdata_authorship,rbfDDA,LIME vs SHAP,0.2546584,0.3628554,0.2
analcatdata_authorship,rbfDDA,LOCAL vs LIME,0.1960784,0.2833029,0.2
analcatdata_authorship,rbfDDA,LOCAL vs SHAP,0.2838875,0.3933869,0.5
analcatdata_authorship,rda,FEAT_IMP vs LIME,0.3979296,0.5584638,0.5
analcatdata_authorship,rda,FEAT_IMP vs LOCAL,0.4219949,0.5743515,0.5
analcatdata_authorship,rda,FEAT_IMP vs SHAP,0.3979296,0.5473362,0.5
analcatdata_authorship,rda,LIME vs SHAP,0.6919255,0.8687079,0.5
analcatdata_authorship,rda,LOCAL vs LIME,0.6146633,0.7901352,0.5
analcatdata_authorship,rda,LOCAL vs SHAP,0.6777494,0.8623310,0.5
analcatdata_authorship,rf,FEAT_IMP vs LIME,0.0997930,0.1540548,0.0
analcatdata_authorship,rf,FEAT_IMP vs LOCAL,-0.0186335,-0.0312659,0.0
analcatdata_authorship,rf,FEAT_IMP vs SHAP,0.0260870,0.0596798,0.0
analcatdata_authorship,rf,LIME vs SHAP,0.6331263,0.8245473,1.0
analcatdata_authorship,rf,LOCAL vs LIME,0.3416149,0.4931677,0.5
analcatdata_authorship,rf,LOCAL vs SHAP,0.2844720,0.4498469,0.5
analcatdata_authorship,rpart,FEAT_IMP vs LIME,0.1378882,0.1956609,0.5
analcatdata_authorship,rpart,FEAT_IMP vs LOCAL,0.0757764,0.1010060,0.2
analcatdata_authorship,rpart,FEAT_IMP vs SHAP,0.9527950,0.9421573,1.0
analcatdata_authorship,rpart,LIME vs SHAP,0.1304348,0.1814189,0.5
analcatdata_authorship,rpart,LOCAL vs LIME,0.0749482,0.1133584,0.2
analcatdata_authorship,rpart,LOCAL vs SHAP,0.0418219,0.0528213,0.2
analcatdata_authorship,simpls,FEAT_IMP vs LIME,0.4840580,0.6577377,0.5
analcatdata_authorship,simpls,FEAT_IMP vs LOCAL,0.4811238,0.6459137,0.5
analcatdata_authorship,simpls,FEAT_IMP vs SHAP,0.4484472,0.6212755,0.2
analcatdata_authorship,simpls,LIME vs SHAP,0.6248447,0.8034468,0.5
analcatdata_authorship,simpls,LOCAL vs LIME,0.5513608,0.7265717,1.0
analcatdata_authorship,simpls,LOCAL vs SHAP,0.7638279,0.9144559,0.5
badges2,C5.0,FEAT_IMP vs LIME,0.3333333,0.4060606,0.2
badges2,C5.0,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,C5.0,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,C5.0,LIME vs SHAP,0.3777778,0.5515152,0.5
badges2,C5.0,LOCAL vs LIME,NA,NA,NA
badges2,C5.0,LOCAL vs SHAP,NA,NA,NA
badges2,JRip,FEAT_IMP vs LIME,0.1555556,0.0787879,0.2
badges2,JRip,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,JRip,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,JRip,LIME vs SHAP,0.2888889,0.3939394,0.2
badges2,JRip,LOCAL vs LIME,NA,NA,NA
badges2,JRip,LOCAL vs SHAP,NA,NA,NA
badges2,PART,FEAT_IMP vs LIME,0.4222222,0.5878788,0.2
badges2,PART,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,PART,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,PART,LIME vs SHAP,0.2888889,0.3696970,0.2
badges2,PART,LOCAL vs LIME,NA,NA,NA
badges2,PART,LOCAL vs SHAP,NA,NA,NA
badges2,bayesglm,FEAT_IMP vs LIME,0.5111111,0.6363636,0.2
badges2,bayesglm,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,bayesglm,FEAT_IMP vs SHAP,0.4666667,0.5757576,0.2
badges2,bayesglm,LIME vs SHAP,0.9555556,0.9878788,1.0
badges2,bayesglm,LOCAL vs LIME,NA,NA,NA
badges2,bayesglm,LOCAL vs SHAP,NA,NA,NA
badges2,ctree,FEAT_IMP vs LIME,-0.0666667,0.0787879,0.2
badges2,ctree,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,ctree,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,ctree,LIME vs SHAP,-0.0222222,-0.0303030,0.2
badges2,ctree,LOCAL vs LIME,NA,NA,NA
badges2,ctree,LOCAL vs SHAP,NA,NA,NA
badges2,fda,FEAT_IMP vs LIME,0.2888889,0.4303030,0.5
badges2,fda,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,fda,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,fda,LIME vs SHAP,-0.0222222,0.0303030,0.2
badges2,fda,LOCAL vs LIME,NA,NA,NA
badges2,fda,LOCAL vs SHAP,NA,NA,NA
badges2,gbm,FEAT_IMP vs LIME,0.2888889,0.3939394,0.2
badges2,gbm,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,gbm,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,gbm,LIME vs SHAP,0.0666667,0.0787879,0.2
badges2,gbm,LOCAL vs LIME,NA,NA,NA
badges2,gbm,LOCAL vs SHAP,NA,NA,NA
badges2,gcvEarth,FEAT_IMP vs LIME,0.6000000,0.7212121,0.5
badges2,gcvEarth,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,gcvEarth,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,gcvEarth,LIME vs SHAP,0.3777778,0.4909091,0.2
badges2,gcvEarth,LOCAL vs LIME,NA,NA,NA
badges2,gcvEarth,LOCAL vs SHAP,NA,NA,NA
badges2,knn,FEAT_IMP vs LIME,0.2888889,0.4303030,1.0
badges2,knn,FEAT_IMP vs LOCAL,-0.2000000,-0.2571429,0.0
badges2,knn,FEAT_IMP vs SHAP,0.1111111,0.2848485,0.5
badges2,knn,LIME vs SHAP,0.8222222,0.9272727,0.5
badges2,knn,LOCAL vs LIME,0.6000000,0.7714286,0.0
badges2,knn,LOCAL vs SHAP,0.3333333,0.4285714,0.2
badges2,mlpML,FEAT_IMP vs LIME,0.5555556,0.7575758,0.2
badges2,mlpML,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,mlpML,FEAT_IMP vs SHAP,0.4666667,0.6484848,0.2
badges2,mlpML,LIME vs SHAP,0.9111111,0.9757576,1.0
badges2,mlpML,LOCAL vs LIME,NA,NA,NA
badges2,mlpML,LOCAL vs SHAP,NA,NA,NA
badges2,multinom,FEAT_IMP vs LIME,0.1111111,0.1757576,0.2
badges2,multinom,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,multinom,FEAT_IMP vs SHAP,0.0222222,0.0424242,0.2
badges2,multinom,LIME vs SHAP,0.8222222,0.9393939,1.0
badges2,multinom,LOCAL vs LIME,NA,NA,NA
badges2,multinom,LOCAL vs SHAP,NA,NA,NA
badges2,naive_bayes,FEAT_IMP vs LIME,0.5555556,0.6121212,0.5
badges2,naive_bayes,FEAT_IMP vs LOCAL,0.6666667,0.8000000,0.0
badges2,naive_bayes,FEAT_IMP vs SHAP,0.5555556,0.7090909,0.5
badges2,naive_bayes,LIME vs SHAP,0.3777778,0.5272727,0.5
badges2,naive_bayes,LOCAL vs LIME,0.3333333,0.4000000,0.0
badges2,naive_bayes,LOCAL vs SHAP,0.6666667,0.8000000,0.0
badges2,rbfDDA,FEAT_IMP vs LIME,0.2000000,0.2848485,0.5
badges2,rbfDDA,FEAT_IMP vs LOCAL,0.3333333,0.1428571,0.2
badges2,rbfDDA,FEAT_IMP vs SHAP,0.6000000,0.7333333,0.5
badges2,rbfDDA,LIME vs SHAP,0.5111111,0.6727273,0.5
badges2,rbfDDA,LOCAL vs LIME,0.3333333,0.5428571,0.2
badges2,rbfDDA,LOCAL vs SHAP,0.7333333,0.8285714,0.0
badges2,rda,FEAT_IMP vs LIME,0.6888889,0.7818182,1.0
badges2,rda,FEAT_IMP vs LOCAL,0.7333333,0.8285714,0.2
badges2,rda,FEAT_IMP vs SHAP,0.6000000,0.7454545,0.5
badges2,rda,LIME vs SHAP,0.9111111,0.9757576,0.5
badges2,rda,LOCAL vs LIME,0.4666667,0.5428571,0.2
badges2,rda,LOCAL vs SHAP,0.3333333,0.3714286,0.2
badges2,rf,FEAT_IMP vs LIME,0.5111111,0.6000000,0.2
badges2,rf,FEAT_IMP vs LOCAL,0.3333333,0.4000000,0.0
badges2,rf,FEAT_IMP vs SHAP,0.4666667,0.6000000,0.2
badges2,rf,LIME vs SHAP,0.7777778,0.9030303,0.5
badges2,rf,LOCAL vs LIME,0.6666667,0.8000000,0.0
badges2,rf,LOCAL vs SHAP,0.6666667,0.8000000,0.0
badges2,rpart,FEAT_IMP vs LIME,-0.0222222,-0.0424242,0.2
badges2,rpart,FEAT_IMP vs LOCAL,NA,NA,NA
badges2,rpart,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.2
badges2,rpart,LIME vs SHAP,0.1111111,0.1636364,0.5
badges2,rpart,LOCAL vs LIME,NA,NA,NA
badges2,rpart,LOCAL vs SHAP,NA,NA,NA
badges2,simpls,FEAT_IMP vs LIME,0.4666667,0.7090909,0.2
badges2,simpls,FEAT_IMP vs LOCAL,1.0000000,1.0000000,0.0
badges2,simpls,FEAT_IMP vs SHAP,0.4222222,0.6242424,0.2
badges2,simpls,LIME vs SHAP,0.8666667,0.9636364,1.0
badges2,simpls,LOCAL vs LIME,1.0000000,1.0000000,0.0
badges2,simpls,LOCAL vs SHAP,1.0000000,1.0000000,0.0
banknote,C5.0,FEAT_IMP vs LIME,1.0000000,1.0,1
banknote,C5.0,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,C5.0,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,C5.0,LIME vs SHAP,1.0000000,1.0,1
banknote,C5.0,LOCAL vs LIME,0.6666667,0.8,1
banknote,C5.0,LOCAL vs SHAP,0.6666667,0.8,1
banknote,JRip,FEAT_IMP vs LIME,1.0000000,1.0,1
banknote,JRip,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,JRip,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,JRip,LIME vs SHAP,1.0000000,1.0,1
banknote,JRip,LOCAL vs LIME,0.6666667,0.8,1
banknote,JRip,LOCAL vs SHAP,0.6666667,0.8,1
banknote,PART,FEAT_IMP vs LIME,1.0000000,1.0,1
banknote,PART,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,PART,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,PART,LIME vs SHAP,1.0000000,1.0,1
banknote,PART,LOCAL vs LIME,0.6666667,0.8,1
banknote,PART,LOCAL vs SHAP,0.6666667,0.8,1
banknote,bayesglm,FEAT_IMP vs LIME,0.6666667,0.8,1
banknote,bayesglm,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,bayesglm,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,bayesglm,LIME vs SHAP,0.6666667,0.8,1
banknote,bayesglm,LOCAL vs LIME,1.0000000,1.0,1
banknote,bayesglm,LOCAL vs SHAP,0.6666667,0.8,1
banknote,ctree,FEAT_IMP vs LIME,1.0000000,1.0,1
banknote,ctree,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,ctree,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,ctree,LIME vs SHAP,1.0000000,1.0,1
banknote,ctree,LOCAL vs LIME,0.6666667,0.8,1
banknote,ctree,LOCAL vs SHAP,0.6666667,0.8,1
banknote,fda,FEAT_IMP vs LIME,0.3333333,0.4,1
banknote,fda,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,fda,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,fda,LIME vs SHAP,0.3333333,0.4,1
banknote,fda,LOCAL vs LIME,0.6666667,0.8,1
banknote,fda,LOCAL vs SHAP,0.6666667,0.8,1
banknote,gbm,FEAT_IMP vs LIME,1.0000000,1.0,1
banknote,gbm,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,gbm,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,gbm,LIME vs SHAP,1.0000000,1.0,1
banknote,gbm,LOCAL vs LIME,0.6666667,0.8,1
banknote,gbm,LOCAL vs SHAP,0.6666667,0.8,1
banknote,gcvEarth,FEAT_IMP vs LIME,0.0000000,0.2,1
banknote,gcvEarth,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,gcvEarth,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,gcvEarth,LIME vs SHAP,0.0000000,0.2,1
banknote,gcvEarth,LOCAL vs LIME,0.3333333,0.4,1
banknote,gcvEarth,LOCAL vs SHAP,0.6666667,0.8,1
banknote,knn,FEAT_IMP vs LIME,1,1,1
banknote,knn,FEAT_IMP vs LOCAL,1,1,1
banknote,knn,FEAT_IMP vs SHAP,1,1,1
banknote,knn,LIME vs SHAP,1,1,1
banknote,knn,LOCAL vs LIME,1,1,1
banknote,knn,LOCAL vs SHAP,1,1,1
banknote,mlpML,FEAT_IMP vs LIME,0.3333333,0.4,1
banknote,mlpML,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,mlpML,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,mlpML,LIME vs SHAP,0.3333333,0.4,1
banknote,mlpML,LOCAL vs LIME,0.6666667,0.8,1
banknote,mlpML,LOCAL vs SHAP,0.6666667,0.8,1
banknote,multinom,FEAT_IMP vs LIME,0.6666667,0.8,1
banknote,multinom,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,multinom,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,multinom,LIME vs SHAP,0.6666667,0.8,1
banknote,multinom,LOCAL vs LIME,1.0000000,1.0,1
banknote,multinom,LOCAL vs SHAP,0.6666667,0.8,1
banknote,naive_bayes,FEAT_IMP vs LIME,1,1,1
banknote,naive_bayes,FEAT_IMP vs LOCAL,1,1,1
banknote,naive_bayes,FEAT_IMP vs SHAP,1,1,1
banknote,naive_bayes,LIME vs SHAP,1,1,1
banknote,naive_bayes,LOCAL vs LIME,1,1,1
banknote,naive_bayes,LOCAL vs SHAP,1,1,1
banknote,rbfDDA,FEAT_IMP vs LIME,0.6666667,0.8,0.5
banknote,rbfDDA,FEAT_IMP vs LOCAL,1.0000000,1.0,1.0
banknote,rbfDDA,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
banknote,rbfDDA,LIME vs SHAP,0.6666667,0.8,0.5
banknote,rbfDDA,LOCAL vs LIME,0.6666667,0.8,0.5
banknote,rbfDDA,LOCAL vs SHAP,1.0000000,1.0,1.0
banknote,rda,FEAT_IMP vs LIME,0.6666667,0.8,1
banknote,rda,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,rda,FEAT_IMP vs SHAP,0.6666667,0.8,1
banknote,rda,LIME vs SHAP,1.0000000,1.0,1
banknote,rda,LOCAL vs LIME,1.0000000,1.0,1
banknote,rda,LOCAL vs SHAP,1.0000000,1.0,1
banknote,rf,FEAT_IMP vs LIME,1.0000000,1.0,1
banknote,rf,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,rf,FEAT_IMP vs SHAP,1.0000000,1.0,1
banknote,rf,LIME vs SHAP,1.0000000,1.0,1
banknote,rf,LOCAL vs LIME,0.6666667,0.8,1
banknote,rf,LOCAL vs SHAP,0.6666667,0.8,1
banknote,rpart,FEAT_IMP vs LIME,0.6666667,0.8,0.5
banknote,rpart,FEAT_IMP vs LOCAL,1.0000000,1.0,1.0
banknote,rpart,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
banknote,rpart,LIME vs SHAP,0.6666667,0.8,0.5
banknote,rpart,LOCAL vs LIME,0.6666667,0.8,0.5
banknote,rpart,LOCAL vs SHAP,1.0000000,1.0,1.0
banknote,simpls,FEAT_IMP vs LIME,0.6666667,0.8,1
banknote,simpls,FEAT_IMP vs LOCAL,0.6666667,0.8,1
banknote,simpls,FEAT_IMP vs SHAP,0.6666667,0.8,1
banknote,simpls,LIME vs SHAP,1.0000000,1.0,1
banknote,simpls,LOCAL vs LIME,1.0000000,1.0,1
banknote,simpls,LOCAL vs SHAP,1.0000000,1.0,1
blood-transfusion-service-center,C5.0,FEAT_IMP vs LIME,0.6666667,0.8,1
blood-transfusion-service-center,C5.0,FEAT_IMP vs LOCAL,1.0000000,1.0,1
blood-transfusion-service-center,C5.0,FEAT_IMP vs SHAP,0.6666667,0.8,1
blood-transfusion-service-center,C5.0,LIME vs SHAP,1.0000000,1.0,1
blood-transfusion-service-center,C5.0,LOCAL vs LIME,0.6666667,0.8,1
blood-transfusion-service-center,C5.0,LOCAL vs SHAP,0.6666667,0.8,1
blood-transfusion-service-center,JRip,FEAT_IMP vs LIME,1.0000000,1.0,1.0
blood-transfusion-service-center,JRip,FEAT_IMP vs LOCAL,0.3333333,0.4,0.5
blood-transfusion-service-center,JRip,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,JRip,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,JRip,LOCAL vs LIME,0.3333333,0.4,0.5
blood-transfusion-service-center,JRip,LOCAL vs SHAP,0.3333333,0.4,0.5
blood-transfusion-service-center,PART,FEAT_IMP vs LIME,0.6666667,0.8,1.0
blood-transfusion-service-center,PART,FEAT_IMP vs LOCAL,0.3333333,0.4,0.5
blood-transfusion-service-center,PART,FEAT_IMP vs SHAP,0.6666667,0.8,1.0
blood-transfusion-service-center,PART,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,PART,LOCAL vs LIME,0.0000000,-0.2,0.5
blood-transfusion-service-center,PART,LOCAL vs SHAP,0.0000000,-0.2,0.5
blood-transfusion-service-center,bayesglm,FEAT_IMP vs LIME,0.3333333,0.4,0.5
blood-transfusion-service-center,bayesglm,FEAT_IMP vs LOCAL,1.0000000,1.0,1.0
blood-transfusion-service-center,bayesglm,FEAT_IMP vs SHAP,0.3333333,0.4,0.5
blood-transfusion-service-center,bayesglm,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,bayesglm,LOCAL vs LIME,0.3333333,0.4,0.5
blood-transfusion-service-center,bayesglm,LOCAL vs SHAP,0.3333333,0.4,0.5
blood-transfusion-service-center,ctree,FEAT_IMP vs LIME,0.3333333,0.4,1.0
blood-transfusion-service-center,ctree,FEAT_IMP vs LOCAL,0.6666667,0.8,0.5
blood-transfusion-service-center,ctree,FEAT_IMP vs SHAP,0.3333333,0.4,0.5
blood-transfusion-service-center,ctree,LIME vs SHAP,0.3333333,0.6,0.5
blood-transfusion-service-center,ctree,LOCAL vs LIME,0.0000000,-0.2,0.5
blood-transfusion-service-center,ctree,LOCAL vs SHAP,0.0000000,0.2,0.5
blood-transfusion-service-center,fda,FEAT_IMP vs LIME,0.6666667,0.8,1
blood-transfusion-service-center,fda,FEAT_IMP vs LOCAL,1.0000000,1.0,1
blood-transfusion-service-center,fda,FEAT_IMP vs SHAP,0.6666667,0.8,1
blood-transfusion-service-center,fda,LIME vs SHAP,1.0000000,1.0,1
blood-transfusion-service-center,fda,LOCAL vs LIME,0.6666667,0.8,1
blood-transfusion-service-center,fda,LOCAL vs SHAP,0.6666667,0.8,1
blood-transfusion-service-center,gbm,FEAT_IMP vs LIME,0.6666667,0.8,1
blood-transfusion-service-center,gbm,FEAT_IMP vs LOCAL,1.0000000,1.0,1
blood-transfusion-service-center,gbm,FEAT_IMP vs SHAP,0.6666667,0.8,1
blood-transfusion-service-center,gbm,LIME vs SHAP,1.0000000,1.0,1
blood-transfusion-service-center,gbm,LOCAL vs LIME,0.6666667,0.8,1
blood-transfusion-service-center,gbm,LOCAL vs SHAP,0.6666667,0.8,1
blood-transfusion-service-center,gcvEarth,FEAT_IMP vs LIME,0.6666667,0.8,1.0
blood-transfusion-service-center,gcvEarth,FEAT_IMP vs LOCAL,0.6666667,0.8,0.5
blood-transfusion-service-center,gcvEarth,FEAT_IMP vs SHAP,0.6666667,0.8,1.0
blood-transfusion-service-center,gcvEarth,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,gcvEarth,LOCAL vs LIME,0.3333333,0.4,0.5
blood-transfusion-service-center,gcvEarth,LOCAL vs SHAP,0.3333333,0.4,0.5
blood-transfusion-service-center,knn,FEAT_IMP vs LIME,1.0000000,1.0,1.0
blood-transfusion-service-center,knn,FEAT_IMP vs LOCAL,-0.3333333,-0.4,0.5
blood-transfusion-service-center,knn,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,knn,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,knn,LOCAL vs LIME,-0.3333333,-0.4,0.5
blood-transfusion-service-center,knn,LOCAL vs SHAP,-0.3333333,-0.4,0.5
blood-transfusion-service-center,mlpML,FEAT_IMP vs LOCAL,-0.3333333,-0.4,0.5
blood-transfusion-service-center,mlpML,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,mlpML,LOCAL vs SHAP,-0.3333333,-0.4,0.5
blood-transfusion-service-center,multinom,FEAT_IMP vs LIME,0.6666667,0.8,1.0
blood-transfusion-service-center,multinom,FEAT_IMP vs LOCAL,-0.6666667,-0.8,0.5
blood-transfusion-service-center,multinom,FEAT_IMP vs SHAP,0.6666667,0.8,1.0
blood-transfusion-service-center,multinom,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,multinom,LOCAL vs LIME,-1.0000000,-1.0,0.5
